HUVUDMANNATYP|ORGANISATIONSNR|LÄN|LÄNSNAMN|KOMMUN|KOMMUNNAMN|SKOLENHETSKOD|NAMN|ADRESS|POSTNR|POSTORT|BESÖKSADRESS|BESÖKSPOSTNR|BESÖKSPOSTORT|TELENR|WEBB|EPOST|FKLASS|ÅR1|ÅR2|ÅR3|ÅR4|ÅR5|ÅR6|ÅR7|ÅR8|ÅR9|HUVUDMANS NAMN|REKTORS NAMN|ELEVAR FKLASS|ELEVER ÅR1|ELEVER ÅR2|ELEVER ÅR3|ELEVER ÅR4|ELEVER ÅR5|ELEVER ÅR6|ELEVER ÅR7|ELEVER ÅR8|ELEVER ÅR9|INRIKTNING|JURIDISK FORM
Kommunal|2120000019|01|Stockholms län|0114|Upplands Väsby|74174879|Bollstanäs skola|Stora vägen 80|19468|UPPLANDS VÄSBY|Stora vägen 80|19468|UPPLANDS VÄSBY|08-59097356|http://www.upplandsvasby.se/bollstanasskola|bollstanas@upplandsvasby.se|J|J|J|J|J|J|N|N|N|N|UPPLANDS VÄSBY KOMMUN|Håkan Lönnqvist|84|84|84|84|84|96|0|0|0|0||Kommuner
Kommunal|2120000019|01|Stockholms län|0114|Upplands Väsby|55512387|Breddenskolan|Bergsyravägen 3|19464|UPPLANDS VÄSBY|Bergsyravägen 3|19464|UPPLANDS VÄSBY|08-59097338|http://www.upplandsvasby.se/breddenskolan|bredden@upplandsvasby.se|J|J|J|J|J|J|N|N|N|N|UPPLANDS VÄSBY KOMMUN|Ebba Wannegård|51|51|74|65|63|46|0|0|0|0||Kommuner
Enskild|8160005966|01|Stockholms län|0114|Upplands Väsby|80509560|Engelska skolan Upplands Väsby|Ryttargatan 275|19431|UPPLANDS VÄSBY|Ryttargatan 275|19431|UPPLANDS VÄSBY|08-59077123|http://www.englishschool.se|skolan@englishschool.se|J|J|J|J|J|J|J|N|N|N|STIFT SVERIGEFINSKA SKOLAN I UPPL-VÄSBY|Marie Larsson|38|22|21|21|13|11|0|0|0|0|Allmän|Övriga stiftelser och fonder, inkl pensionsstiftelser och personalstiftelser
Enskild|5567243547|01|Stockholms län|0114|Upplands Väsby|62078083|Frestaskolan|Box 5017|19405|UPPLANDS VÄSBY|Älvhagsvägen 15|19453|UPPLANDS VÄSBY|08-51067720|http://www.magnetica.se|info@magnetica.se|J|J|J|J|J|J|N|N|N|N|Magnetica Education AB|Elisabeth Brandell|49|51|55|50|50|63|0|0|0|0|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120000019|01|Stockholms län|0114|Upplands Väsby|44227469|Grimsta skola|Vårvägen 1|19464|UPPLANDS VÄSBY|Vårvägen 1|19464|UPPLANDS VÄSBY|08-59097328|http://www.upplandsvasby.se/grimstaskolan|grimsta@upplandsvasby.se|N|N|N|N|N|N|J|J|J|J|UPPLANDS VÄSBY KOMMUN|Johnny Wahlund|0|0|0|0|0|4|112|108|130|103||Kommuner
Enskild|5567243547|01|Stockholms län|0114|Upplands Väsby|19733028|Odenskolan|Rosendalsvägen 35|19463|UPPLANDS VÄSBY|Eddavägen 1|19463|UPPLANDS VÄSBY|08-51067701|http://www.magnetica.se|info@magnetica.se|J|J|J|J|J|J|N|N|N|N|Magnetica Education AB|Sofia Thunell|25|24|28|27|24|30|0|0|0|0|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|5567243547|01|Stockholms län|0114|Upplands Väsby|81453817|Resursskolan Magneten|Box 5017|19404|UPPLANDS VÄSBY|Eddavägen 1|19463|UPPLANDS VÄSBY|+46735939151|http://www.magnetica.se|info@magnetica.se|N|J|J|J|J|J|N|N|N|N|Magnetica Education AB|Anneli Springe|2|1|2|2|4|0|0|0|0|0|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120000019|01|Stockholms län|0114|Upplands Väsby|77624936|Runby skola|Lövstavägen 1|19447|UPPLANDS VÄSBY|Lövstavägen 1|19447|UPPLANDS VÄSBY|08-59097350|http://www.upplandsvasby.se/runbyskolor|runbyskola@upplandsvasby.se|J|J|J|J|J|J|J|J|J|J|UPPLANDS VÄSBY KOMMUN|Gabriella Brundin|74|76|67|77|58|57|61|68|62|69||Kommuner
Enskild|5567796387|01|Stockholms län|0114|Upplands Väsby|97762139|Sandbergska Competens|Johanneslundsvägen 3|19461|UPPLANDS VÄSBY|Johanneslundsvägen 3|19461|UPPLANDS VÄSBY|073-7526991|http://www.sandbergskacompetens.se|info@sandbergskaskolan.se|J|J|J|J|J|J|J|J|J|J|Sandbergska Competens AB|Eva Svensson|25|26|23|24|24|24|48|24|24|48|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|8160005966|01|Stockholms län|0114|Upplands Väsby|68403656|Sverigefinska sk, Uppl Väsby|Hovslagargatan 25|19431|UPPLANDS VÄSBY|Hovslagargatan 25|19431|UPPLANDS VÄSBY|08-59080991|http://www.sverigefinskaskolan.se|skolan@sverigefinskaskolan.se|J|J|J|J|J|J|J|J|J|J|STIFT SVERIGEFINSKA SKOLAN I UPPL-VÄSBY|Maija Vola|12|13|7|16|8|8|11|8|8|4|Allmän|Övriga stiftelser och fonder, inkl pensionsstiftelser och personalstiftelser
Enskild|5567220347|01|Stockholms län|0114|Upplands Väsby|49021135|Södervikskolan|Söderviksvägen 1|19457|UPPLANDS VÄSBY|Söderviksvägen 1|19457|UPPLANDS VÄSBY|08-41062950|http://www.sodervikskolan.se|info@sodervikskolan.se|N|N|N|N|N|N|J|J|J|J|Södervikskolan AB|Anita Bondesson-Berglund|0|0|0|0|0|0|120|112|115|108|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
