HUVUDMANNATYP|ORGANISATIONSNR|LÄN|LÄNSNAMN|KOMMUN|KOMMUNNAMN|SKOLENHETSKOD|NAMN|ADRESS|POSTNR|POSTORT|BESÖKSADRESS|BESÖKSPOSTNR|BESÖKSPOSTORT|TELENR|WEBB|EPOST|HUVUDMANS NAMN|REKTORS NAMN|BARN- O FRITIDSPROGRAMMET|BYGG- O ANL. PROGRAMMET|EL- O ENERGIPROGRAMMET|FORDONS- O TRANSP. PROGRAMMET|HANDELS O ADM. PROGRAMMET|HANTVERKSPROGRAMMET|HOTELL O TURISMPROGRAMMET|INDUSTRITEKNISKA PROGRAMMET|NATURBRUKSPROGRAMMET|REST.- O LIVSMEDELSPROGRAMMET|VVS O FASTIGHETSPROGRAMMET|VÅRD O OMSORGSPROGRAMMET|EKONOMIPROGRAMMET|ESTETISKA PROGRAMMET|HUMANISTISKA PROGRAMMET|NATURVETENSKAPSPROGRAMMET|SAMHÄLLSVETENSKAPPROGRAMMET|TEKNIKPROGRAMMET|PREPARANDUTBILDNING|PROGRAMINRIKTAT IND. VAL|INDIVIDUELLT ALTERNATIV|SPRÅKINTRODUKTION|YRKESINTRODUKTION|FLYGTEKNIKUTBILDNINGEN|MARINTEKNIKUTBILDINGEN|SJÖFARTSUTBILDNINGEN|TÅGTEKNIKUTBILDNINGEN|UTBILDNINGEN SAMISKA NÄRINGAR|YRKESDANSARUTBILDNINGEN|VIDAREUTBILDING I FORM FJÄRDE TEKNISKT ÅR|ENDAST INTRODUKTIONSPROGRAM|ELEVER BARN O FRITID|ELEVER BYGG O ANL|ELEVER EL O ENERGI|ELEVER FORDON O TRANSP|ELEVER HANDEL O ADM|ELEVER HANTVERK|ELEVER HOTELL O TURISM|ELEVER INDUSTRITEKNISK|ELEVER NATURBRUK|ELEVER REST O LIVSMEDEL|ELEVER VVS O FASTIGHET|ELEVER VÅRD O OMSORG|TOTALT ANTAL ELEVER RIKSREKRYT UTB|ELEVER EKONOMI|ELEVER ESTETISK|ELEVER HUMANISTISK|ELEVER NATURVETENSKAP|ELEVER SAMHÄLLSVETENSKAP|ELEVER TEKNIK|ELEVER IB|ELEVER INTRO PREPARAND|ELEVER INTRO PROGRAMINR INDIVID|ELEVER YRKESINTRO|ELEVER INTRO INDIVID|ELEVER SPRÅKINTRO|TOTALT ANTAL ELEVER INTRODUKTIONSPROGRAM|ELEVER FLYGTEKNIKUTBILDNING|ELEVER MARINTEKNIKUTBILDNING|ELEVER SJÖFARTSUTBILDNING|ELEVER TÅGTEKNIKUTBILDNING|ELEVER UTB SAMISKA NÄRINGAR|ELEVER YRKESDANSARUTB|ELEVER VIDAREUTB FJÄRDE TEKNISKT ÅR|ELEVER TOTALT|INRIKTNING|JURIDISK FORM
Enskild|5564427432|01|Stockholms län|0114|Upplands Väsby|54882637|Peabskolan Upplands Väsby|Industrigatan 20 B|19433|UPPLANDS VÄSBY|Industrigatan 20 B|19433|UPPLANDS VÄSBY|072-5333018|http://www.peabskolan.se|peabskolanupplandsvasby@peab.se|Peabskolan AB|Hans Andersson|N|J|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|J|N|N|J|N|N|N|N|N|N|N|N|0|73|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|73|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120000019|01|Stockholms län|0114|Upplands Väsby|20855811|Väsby Nya Gymnasium|Love Almqvists torg 1|19477|UPPLANDS VÄSBY|Love Almqvists torg 1, |19477|UPPLANDS VÄSBY|08-59097000|http://www.vasbygymnasium.se|elin.wallgren@upplandsvasby.se|UPPLANDS VÄSBY KOMMUN|John Gustafsson|N|N|N|N|N|N|J|N|N|N|N|N|J|N|N|J|J|J|J|N|J|J|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|0|0|133|0|0|73|119|88|0|6|0|2|26|125|159|0|0|0|0|0|0|0|572||Kommuner
Enskild|5568089246|01|Stockholms län|0114|Upplands Väsby|82372485|Väsby Yrkesgymnasium|Kanalvägen 14, 1 tr|19461|UPPLANDS VÄSBY|Kanalvägen 14|19461|UPPLANDS VÄSBY|08-7582546|http://www.vasbyyrkesgymnasium.se|info@energigymnasiet.se|Energy Maintenance Sweden AB|Johan Öhman|N|N|J|N|N|N|N|N|N|N|J|N|N|N|N|N|N|N|N|J|N|J|J|N|N|N|N|N|N|N|N|0|0|13|0|0|0|0|0|0|0|27|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|41|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120000027|01|Stockholms län|0115|Vallentuna|85788659|Vallentuna gymnasium|Box 153|18623|VALLENTUNA|Gymnasievägen 4|18636|VALLENTUNA|08-58785510|http://www.skolor.vallentuna.se/gymnasiet/|gymnasiet@vallentuna.se|VALLENTUNA KOMMUN|Johan Klintberg|N|J|N|J|J|N|N|N|N|N|N|N|J|N|N|J|J|J|J|J|J|J|J|N|N|N|N|N|N|N|N|0|34|0|42|35|0|0|0|0|0|0|0|0|15|0|0|4|74|12|0|5|20|8|8|30|71|0|0|0|0|0|0|0|287||Kommuner
Enskild|5565970471|01|Stockholms län|0117|Österåker|21532545|IT-Gymnasiet Åkersberga|Luffarbacken 5|18437|ÅKERSBERGA|Luffarbacken 5|18437|ÅKERSBERGA|08-55586130|http://www.it-gymnasiet.se|info.akersberga@it-gymnasiet.se|IT Gymnasiet Sverige AB|Peter Niemelä|N|N|J|N|N|N|N|N|N|N|N|N|N|J|N|N|N|J|J|N|N|N|N|N|N|N|N|N|N|N|N|0|0|14|0|0|0|0|0|0|0|0|0|0|0|42|0|0|0|23|0|3|0|0|0|0|3|0|0|0|0|0|0|0|82|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Enskild|5567284822|01|Stockholms län|0117|Österåker|56187883|Skärgårdsgymnasiet|Näsvägen 15|18440|ÅKERSBERGA|Näsvägen 15|18440|ÅKERSBERGA|08-54064612|http://www.skargardsgymnasiet.se|sg@skargards.se|Au Claves AB|Anders Lundin|N|J|J|J|J|J|N|N|J|J|N|N|N|N|N|N|J|N|J|J|J|N|J|N|N|N|N|N|N|N|N|0|59|58|29|0|87|0|0|0|20|0|0|0|0|0|0|0|55|0|0|0|0|15|0|0|15|0|0|0|0|0|0|0|323|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120002890|01|Stockholms län|0117|Österåker|20752831|Österåkers gymnasium||18430|ÅKERSBERGA|Lennart Näckmans väg 22|18430|ÅKERSBERGA|08-54081721|http://www.osteraker.se|osteraker_gymnasium@osteraker.se|ÖSTERÅKERS KOMMUN|Christina Awerstedt|N|N|N|N|N|N|N|N|N|N|N|N|J|N|N|J|J|J|J|N|J|J|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|0|0|122|0|0|70|133|79|0|3|0|0|12|50|65|0|0|0|0|0|0|0|469||Kommuner
Kommunal|2120000035|01|Stockholms län|0120|Värmdö|24277564|Gustavsbergs gymnasium ,G2,|Värmdö kommun/Skogsbovägen 9-11|13481|GUSTAVSBERG|Idrottsvägen 4|13440|GUSTAVSBERG|08-57048530|http://www.g2.varmdo.se|marie.olofsson@varmdo.se|VÄRMDÖ KOMMUN|Marie Olofsson|J|N|N|N|J|J|N|N|N|N|N|J|J|N|N|J|J|N|J|J|J|J|N|N|N|N|N|N|N|N|N|28|0|0|0|16|52|0|0|0|0|0|22|0|9|0|0|31|38|0|0|4|16|0|25|57|102|0|0|0|0|0|0|0|298||Kommuner
Enskild|5569516742|01|Stockholms län|0120|Värmdö|88956420|Mälardalens Ridgymnasium|Mälardalens ridgymnasium Skärgårdens Rid och Friskvårds Center|72595|VÄSTERÅS|Mälardalens ridgymnasium Skärgårdens Rid och Friskvårds Center|13440|GUSTAVSBERG|070-2521950|http://www.malardalensridgymnasium.se|info@malardalensridgymnasium.se|Mälardalens Ridgymnasium AB|Peter Ledin|N|N|N|N|N|N|N|N|J|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|5|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|5|Allmän|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120000035|01|Stockholms län|0120|Värmdö|44412461|Värmdö gymnasium|Box 7030|12107|STOCKHOLM-GLOBEN|Simlångsvägen 26|12039|ÅRSTA|08-50555100|http://www.gy.varmdo.se|kansliet@vgy.se|VÄRMDÖ KOMMUN|Christina Ahlgren|N|N|N|N|N|N|N|N|N|N|N|N|J|J|N|J|J|J|N|N|N|N|N|N|N|N|N|N|N|N|N|0|0|0|0|0|0|0|0|0|0|0|0|0|281|64|0|406|376|94|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1221||Kommuner
