HUVUDMANNATYP|ORGANISATIONSNR|LÄN|LÄNSNAMN|KOMMUN|KOMMUNNAMN|SKOLENHETSKOD|NAMN|ADRESS|POSTNR|POSTORT|BESÖKSADRESS|BESÖKSPOSTNR|BESÖKSPOSTORT|TELENR|WEBB|EPOST|HUVUDMANS NAMN|REKTORS NAMN|JURIDISK FORM
Kommunal|2120000019|01|Stockholms län|0114|Upplands Väsby|25315338|Väsby Vuxenutbildning SFI|Dragonvägen 86|19433|UPPLANDS VÄSBY|Dragonvägen 86|19433|UPPLANDS VÄSBY|08-59097000|http://www.upplandsvasby.se/vux|vuxenutbildningen@upplandsvasby.se|UPPLANDS VÄSBY KOMMUN|Stefan Quas|Kommuner
Kommunal|2120002890|01|Stockholms län|0117|Österåker|35372646|Komvux i Österåkers kommun    SFI||18486|ÅKERSBERGA|Stenhagsvägen 45-47|18433|ÅKERSBERGA|08-54081701|http://www.osteraker.se/komvux|komvux@osteraker.se|ÖSTERÅKERS KOMMUN|Sara Schildt|Kommuner
Kommunal|2120000035|01|Stockholms län|0120|Värmdö|53295831|Komvux Värmdö||13481|GUSTAVSBERG|Skärgårdsvägen 7|13441|GUSTAVSBERG|08-57048331|http://www.varmdo.se|komvux@varmdo.se|VÄRMDÖ KOMMUN|Eva Sonntag|Kommuner
Kommunal|2120000043|01|Stockholms län|0123|Järfälla|11871194|Järfälla Lärcentrum|Järfällavägen 100, plan 4|17741|JÄRFÄLLA|Järfällavägen 102-104|17741|JÄRFÄLLA|08-58028371|http://www.jarfalla.se/vuxenutbildning|Patrik.Marinilli@jarfalla.se|JÄRFÄLLA KOMMUN|Ulrika Grönqvist|Kommuner
Kommunal|2120000068|01|Stockholms län|0126|Huddinge|61487953|Vux Huddinge SFI||14185|HUDDINGE|Patron Pehrs väg 6|14346|HUDDINGE|08-53531178|http://www.komvux.huddinge.se|vux@huddinge.se|HUDDINGE KOMMUN|Vig, Jonas|Kommuner
Kommunal|2120002882|01|Stockholms län|0127|Botkyrka|58826633|Botkyrka Vuxenutb. SFI|Gröndalsvägen 20|14730|TUMBA|Gröndalsvägen 20|14730|TUMBA|08-53062035|http://www.botkyrka.se/vuxenutbildning|vuxenutbildning@botkyrka.se|BOTKYRKA KOMMUN|Helen Myslek|Kommuner
Kommunal|2120000084|01|Stockholms län|0136|Haninge|43084085|Centrum Vux|Haninge kommun|13681|HANINGE|Marinens väg 30|13640|HANDEN|08-6067901|http://haninge.se/sv/Specialwebbar/VUXENSKOLA/Centrum-Vux/|hadi.hormozi@haninge.se|HANINGE KOMMUN|Cecilia Berglund|Kommuner
Kommunal|2120000092|01|Stockholms län|0138|Tyresö|95659810|Tyresö kommun, SFI|Farmarstigen 11|13536|TYRESÖ|Farmarstigen 11|13536|TYRESÖ|08-57829250|http://www.tyreso.se|arbetscentrum@tyreso.se|TYRESÖ KOMMUN|Erik Hamner|Kommuner
Kommunal|2120000100|01|Stockholms län|0139|Upplands-Bro|68863565|Upplands-Bro SFI-enheten|Kyrkvägen 6|19630|KUNGSÄNGEN|Kyrkvägen 6|19630|KUNGSÄNGEN|08-58169299|http://www.upplands-bro.se/barn-och-utbildning/vuxenutbildningen/sfi---svenska-for-invandrare.html|vux@upplands-bro.se|UPPLANDS-BRO KOMMUN|Tomas Stens|Kommuner
Kommunal|2120000118|01|Stockholms län|0160|Täby|53142421|Folkuniversitetet SFI Nordost|Kunskapscentrum Nordost|18380|TÄBY|Attundafältet 14|18334|TÄBY|08-55558340|http://www.folkuniversitetet.se/vux|kunskapscentrumnordost@taby.se|TÄBY KOMMUN|Svante Ingler|Kommuner
Kommunal|2120000118|01|Stockholms län|0160|Täby|74660201|Kunskapscentrum Nordost SFI|Kunskapscentrum Nordost|18380|TÄBY|Attundafältet 14|18334|TÄBY|08-55558340|http://www.kunskapscentrumnordost.se|kunskapscentrumnordost@taby.se|TÄBY KOMMUN|Svante Ingler|Kommuner
Kommunal|2120000134|01|Stockholms län|0163|Sollentuna|36127669|Eductus SFI|Aniaraplatsen 4, 1 tr|19147|SOLLENTUNA|Aniaraplatsen 4, 1 tr|19147|SOLLENTUNA|08-6234578|http://www.eductus.se/sollentuna|sanela.curic@eductus.se|SOLLENTUNA KOMMUN|Sanela Curic|Kommuner
Kommunal|2120000134|01|Stockholms län|0163|Sollentuna|61751087|Folkuniversitetet SFI Sollent.|Box 6901|10239|STOCKHOLM|Kungstensgatan 45|11359|STOCKHOLM|08-7894200|http://www.folkuniversitetet.se/vux||SOLLENTUNA KOMMUN|Vakant|Kommuner
Kommunal|2120000134|01|Stockholms län|0163|Sollentuna|71008107|Kunskapsparken SFI|Turebergsvägen 1 B, 3 tr, portkod 4306|19147|SOLLENTUNA|Turebergsvägen 1 B, 3 tr, portkod 4306|19147|SOLLENTUNA|08-57921000|http://www.kunskapsparken.sollentuna.se|kunskapsparken@sollentuna.se|SOLLENTUNA KOMMUN|Vakant|Kommuner
Kommunal|2120000142|01|Stockholms län|0180|Stockholm|88998356|Alma folkhögskola SFI|Box 47099|10074|STOCKHOLM|Årstaängsvägen 31, J|11743|STOCKHOLM|08-4621100|http://www.alma.fhsk.se|info@alma.fhsk.se|STOCKHOLMS KOMMUN|Vakant|Kommuner
Kommunal|2120000142|01|Stockholms län|0180|Stockholm|79085201|Alternativ sfi |Sandhamnsgatan 8|11540|STOCKHOLM|Sandhamnsgatan 8|11540|STOCKHOLM|076-1235449|http://www.stockholm.se/sfi|helene.singer@stockholm.se|STOCKHOLMS KOMMUN|Helene Singer|Kommuner
Enskild|5566064209|01|Stockholms län|0180|Stockholm|85782695|Distra Bygg Gymnasium Sthlm|Box 7035|12107|STOCKHOLM|Hallvägen 14|12162|JOHANNESHOV|073-6837338|http://www.distra.se|info@edu.distra.se|DISTRA UTBILDNINGS CENTER AB|Sofia Rytterström|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120000142|01|Stockholms län|0180|Stockholm|73294718|Kista folkhögskola SFI|Kista Torg 7, Kista Träff|16442|KISTA|Kista Torg 7, Kista Träff|16442|KISTA|08-7515040|http://www.kistafolkhogskola.se|sfi@kistafolkhogskola.se|STOCKHOLMS KOMMUN|Vakant|Kommuner
Kommunal|2120000142|01|Stockholms län|0180|Stockholm|48933946|SFI Stockholm|Box 17140, Arbetsmarknadsförv.|10462|STOCKHOLM|Hornsgatan 124|11728|STOCKHOLM|08-50833200|http://www.stockholm.se|Info.SFCSFI@stockholm.se|STOCKHOLMS KOMMUN|Anna Sundbom|Kommuner
Kommunal|2120000142|01|Stockholms län|0180|Stockholm|57770186|SFI Söderort|Vårholmsbackarna 100|12744|SKÄRHOLMEN|Vårholmsbackarna 100|12744|SKÄRHOLMEN|08-50835702|http://sfisoderort.stockholm.se|sivert.kvarneus@stockholm.se|STOCKHOLMS KOMMUN|Sivert Kvarnéus|Kommuner
Kommunal|2120000142|01|Stockholms län|0180|Stockholm|36738550|SFI-Västerort|Bredbyplan 36|16371|SPÅNGA|Bredbyplan 36|16371|SPÅNGA|08-50835730|http://www.facebook.com/SfiVasterort|maria.rudling@stockholm.se|STOCKHOLMS KOMMUN|Maria Rudling|Kommuner
Enskild|8020170794|01|Stockholms län|0180|Stockholm|89983665|Stadsmissionens folkhögskola/SFI|Årstaängsvägen 33|11743|STOCKHOLM|Årstaängsvägen 31B 5 tr|11743|STOCKHOLM|08-68423000|http://www.stadsmissionen.se/grillska/komvux/Stockholm|magnus.wetterberg@stadsmissionen.se|STADSMISSIONENS SKOLSTIFTELSE|Magnus Wetterberg|Övriga stiftelser och fonder, inkl pensionsstiftelser och personalstiftelser
Kommunal|2120000142|01|Stockholms län|0180|Stockholm|94498092|Sthlms intensivsv f akadem SFI|Box 17804|11894|STOCKHOLM|Blekingegatan 55|11894|STOCKHOLM|08-50835781|http://sifa.stockholm.se|sifa@stockholm.se|STOCKHOLMS KOMMUN|Roswitha Rieder|Kommuner
Enskild|5565253944|01|Stockholms län|0180|Stockholm|87927983|SweJa Kunskapscenter AB SFI|Trekantsvägen 1, plan 3|11743|STOCKHOLM|Trekantsvägen 1, plan 3|11743|STOCKHOLM|08-6811394|http://swejakc.se/|info@swejakc.se|SWEJA KUNSKAPSCENTER AKTIEBOLAG|Gunilla Eriksson|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120000142|01|Stockholms län|0180|Stockholm|74919233|YFI|Box 17804|11894|STOCKHOLM|Blekingegatan 55|11894|STOCKHOLM|+46850835743|http://yfi.stockholm.se|yfi@stockholm.se|STOCKHOLMS KOMMUN|Tobias Fankvist|Kommuner
Enskild|5566753736|01|Stockholms län|0180|Stockholm|26298615|Yrkesplugget|Johannesfredsvägen 9-11|16869|BROMMA|Johannesfredsvägen 9-11|16869|BROMMA|08-40914200|http://www.yrkesplugget.se|bromma@yrkesplugget.se|Yrkesplugget i Sverige AB|Dejan Matic|Aktiebolag utom bank- och försäkringsaktiebolag
Kommunal|2120000159|01|Stockholms län|0181|Södertälje|72577064|Hagabergs folkhögskola SFI|Box 19161|15227|SÖDERTÄLJE|Erik Dahlbergs väg 60|15270|SÖDERTÄLJE|08-55091000|http://www.hagaberg.fhsk.se|reception@hagaberg.fhsk.se|SÖDERTÄLJE KOMMUN|Vakant|Kommuner
Kommunal|2120000159|01|Stockholms län|0181|Södertälje|87873190|Komvux, SFI|Vuxenutbildningen, Västerg 2|15189|SÖDERTÄLJE|Västergatan 2|15145|SÖDERTÄLJE|08-55022345|http://www.vuxenutbildningen.sodertalje.se|vuxenutbildningen@sodertalje.se|SÖDERTÄLJE KOMMUN|Achilles French|Kommuner
Kommunal|2120000167|01|Stockholms län|0182|Nacka|45274467|Eductus SFI|Eductus AB|13154|NACKA|Experimentgatan 7, 3 tr|13134|NACKA|08-6233151|http://www.eductus.se|vux.nacka@eductus.se|NACKA KOMMUN|Staffan Ström|Kommuner
Kommunal|2120000167|01|Stockholms län|0182|Nacka|63445397|Folkuniversitetet SFI Nacka|Nacka kommun|13181|NACKA|Kungstensgatan 45|11359|STOCKHOLM|08-7894200|http://www.folkuniversitetet.se/vux||NACKA KOMMUN|vakant|Kommuner
Kommunal|2120000167|01|Stockholms län|0182|Nacka|84240706|Integra Nacka, SFI|Nacka kommun|13181|NACKA|Fidravägen 1|13304|SALTSJÖBADEN|0708-693380|http://www.integra-ab.se|carlos.toledo@integra-ab.se|NACKA KOMMUN|Staffan Ström|Kommuner
Kommunal|2120000167|01|Stockholms län|0182|Nacka|64918048|Lernia AB/SFI Nacka|Nacka kommun|13181|NACKA|Ektorpsvägen 4 C|13145|NACKA|08-6496106|||NACKA KOMMUN|vakant|Kommuner
Kommunal|2120000167|01|Stockholms län|0182|Nacka|34368572|Omsorgslyftet Utbildningar/SFI|Nacka kommun|13181|NACKA|Ektorpsvägen 2|13147|NACKA|08-7160750|http://www.omsorgslyftet.se|marie@omsorgslyftet.se|NACKA KOMMUN|Staffan Ström|Kommuner
Kommunal|2120000175|01|Stockholms län|0183|Sundbyberg|39044655|Centrum för vuxenutb., SFI|Social- och arbetsmarknadsförvaltningen|17292|SUNDBYBERG|Lötsjövägen 10-12|17452|SUNDBYBERG|08-7068501|http://www.sundbyberg.se/vux|vuxenutbildningen@sundbyberg.se|SUNDBYBERGS KOMMUN|Fredrik Ekdahl|Kommuner
